round,price
1,90.03
1,93.00999999999999
1,106.88499999999999
1,116.565
1,107.53
1,93.12
1,86.225
1,99.12
1,94.97
1,104.50999999999999
1,104.47
1,114.685
1,87.82
1,106.215
1,109.63
1,96.32
1,96.67
1,84.52000000000001
1,97.505
1,83.215
1,96.84
1,111.995
1,105.685
1,103.765
1,78.675
1,106.285
1,114.345
1,108.99000000000001
1,100.83
1,87.66
1,104.86
1,109.005
1,99.785
1,104.85
1,84.84
1,99.695
1,109.13
1,92.41999999999999
1,90.41499999999999
1,111.14500000000001
2,109.4
2,91.8235
2,93.251625
2,91.716125
2,102.654
2,114.88225
2,101.68825
2,82.69312500000001
2,89.231375
2,105.329125
2,112.42774999999999
2,112.561375
2,96.94925
2,96.86824999999999
2,115.26912499999999
2,109.26775
2,108.32775000000001
2,106.86162499999999
2,91.61775
2,108.62375
2,102.074375
2,98.903875
2,88.08725
2,95.26024999999998
2,94.99475
2,109.4755
2,97.56762499999999
2,102.07637499999998
2,96.190125
2,87.54437499999997
2,108.90974999999999
2,102.011375
2,99.52025
2,85.20762500000001
2,103.05737500000001
2,98.39987500000001
2,102.63037499999999
2,105.544375
3,109.09559999999999
3,96.16705625
3,95.413390625
3,103.725425
3,100.207409375
3,107.688440625
3,100.73410625
3,111.87462499999998
3,100.9364125
3,100.236665625
3,88.242746875
3,96.700803125
3,87.32005625
3,102.59715
3,102.27691875
3,108.878640625
3,107.89825312499998
3,101.454359375
3,103.00575312499998
3,92.065440625
3,101.513840625
3,96.15944687499999
3,93.743384375
3,98.53610624999999
3,108.7176125
3,96.954809375
3,98.03630937499999
3,94.78762499999998
3,91.66324374999999
3,101.866715625
3,112.96393749999999
3,105.84046562500001
3,100.27337499999999
3,108.49806874999999
3,100.41393124999999
3,103.78939687499998
3,90.64555312499999
4,83.76393898437499
4,101.69462781249999
4,112.15190859374998
4,113.99579140624999
4,83.04005421875
4,99.83776125
4,93.23789515624999
4,98.03630937499999
4,104.86236765624999
4,76.733395078125
4,104.276576640625
4,99.91362601562497
4,105.683235078125
4,106.33170617187498
4,97.44834070312501
4,90.89798804687499
4,112.77499648437501
4,107.26219835937498
4,94.27610328124999
4,106.76516249999999
4,92.79806218749998
4,109.80902
4,100.890261171875
4,105.856669375
4,97.466990234375
4,96.47606796874997
4,102.27691875
4,96.77917101562498
4,110.91952257812498
4,104.02291421875
4,101.208103125
4,110.22550601562499
4,96.98531609374999
4,98.57833898437498
4,106.00188406250001
4,97.28847359374998
4,100.57614203124999
4,115.85149132812498
4,85.41827546875
5,99.28689596874997
5,99.80765410546874
5,99.85308903710936
5,108.04100095117187
5,113.7007693691406
5,94.35842620703123
5,99.4957788691406
5,102.284546140625
5,101.68994455273437
5,101.93113034374998
5,109.20982726171873
5,98.8464712988281
5,115.55363026757811
5,89.77398778124997
5,108.44137607617185
5,102.39428192773434
5,89.64153040234373
5,88.68649351171874
5,92.79806218749998
5,94.96630987304687
5,91.68953327343749
5,104.77891309179687
5,104.68373660742186
5,98.56164335156248
5,92.66868940234374
